gene,annotation,ensembl_gene_id,depmap,trct_ab,trct_sm,trct_om,lit_egfr,lit_nsclc,lit_egfr_norm,lit_nsclc_norm,lit_total,L2_egfr,L2_nsclc,n_neighbours,n_edges,degree,pagerank,betweenness,full_screen,KO_osi,KO_gefi,KO_all,A_osi,A_gefi,A_all,clin_ES1,clin_ES2,clin_ES3,RNAseq_adjpval,RNAseq_LFC
ADD1,adducin 1,ENSG00000087274,nonessential,5,0,0,0,0,0.00,0.00,578,24.1,17.5,950,1331,26,1.185826743,9916.526626,1,0,0,0,1,0,1,0,0,0,2.84E-04,0.4
ADD2,adducin 2,ENSG00000075340,nonessential,4,0,0,0,0,0.00,0.00,279,24.2,21.1,558,721,7,0.430635669,544.4590191,2,0,0,0,1,1,2,0,0,0,1,0
ADGB,androglobin,ENSG00000118492,unknown,0,0,0,0,0,0.00,0.00,49,25.8,22.1,446,468,1,0.183310112,0,2,0,0,0,1,1,2,0,0,0,0.006262453,-0.5
ADRB2,adrenoceptor beta 2,ENSG00000169252,nonessential,6,9,0,0,0,0.00,0.00,11428,35.3,27.3,15965,22233,43,2.09067511,110351.1842,1,0,0,0,1,0,1,0,0,0,1,0
ADSSL1,NA,ENSG00000185100,unknown,0,0,0,0,0,0.00,0.00,0,27.7,18.4,359,430,3,0.27557651,45.66275735,1,0,0,0,1,0,1,0,0,0,1,0
AFAP1L1,actin filament associated protein 1 like 1,ENSG00000157510,nonessential,0,0,0,0,0,0.00,0.00,29,20.3,18.4,255,298,2,0.224631723,11.25580945,1,0,0,0,1,0,1,0,0,0,0.004347228,-0.8
AFF1,AF4/FMR2 family member 1,ENSG00000172493,nonessential,0,0,0,0,0,0.00,0.00,426,26.7,16,995,1253,18,0.900147396,11175.66217,1,0,0,0,1,0,1,0,0,0,0.002203745,0.4
AFF4,AF4/FMR2 family member 4,ENSG00000072364,nonessential,0,6,0,0,0,0.00,0.00,235,30.6,19.6,666,857,16,0.773806218,4716.93167,2,0,0,0,1,1,2,0,0,0,1,0
AGO3,"argonaute 3, RISC catalytic component",ENSG00000126070,nonessential,0,0,0,0,0,0.00,0.00,242,23.2,15.9,563,763,52,1.953528624,23587.71631,1,0,0,0,1,0,1,0,0,0,1,0
AGTR1,angiotensin II receptor type 1,ENSG00000144891,nonessential,5,9,9,0,0,0.00,0.00,22482,34.7,29.6,9067,13575,24,1.179038932,5256.918753,1,0,0,0,1,0,1,0,0,0,1,0
AHSG,alpha 2-HS glycoprotein,ENSG00000145192,nonessential,5,0,0,0,0,0.00,0.00,2712,32.1,21.5,1415,2726,11,0.618274973,4267.246383,1,0,0,0,1,0,1,0,0,0,1,0
AIF1L,allograft inflammatory factor 1 like,ENSG00000126878,nonessential,6,0,0,0,0,0.00,0.00,57,22.4,19.8,274,340,2,0.241576069,0,1,0,0,0,1,0,1,0,0,0,1,0
AIM1L,NA,ENSG00000176092,unknown,0,0,0,0,0,0.00,0.00,0,26,21.2,213,219,1,0.209855231,0,4,0,0,0,3,1,4,0,0,0,0.007254191,0.6
AIRE,autoimmune regulator,ENSG00000160224,nonessential,0,0,0,0,0,0.00,0.00,1276,33.3,22,1305,2138,64,2.287982157,7610.437196,1,0,0,0,1,0,1,0,0,0,1,0
AKT1,AKT serine/threonine kinase 1,ENSG00000142208,nonessential,5,8,0,98,33,0.09,0.03,114819,33.3,34,35378,57542,225,9.32410899,384970.4063,1,0,0,0,0,1,1,0.5,0,0.5,2.14E-04,-0.4
ALAD,aminolevulinate dehydratase,ENSG00000148218,nonessential,5,6,0,0,0,0.00,0.00,1358,24,17.8,1127,1822,2,0.252279781,0,1,0,0,0,0,1,1,0,0,0,2.07E-14,1
ALAS1,5'-aminolevulinate synthase 1,ENSG00000023330,nonessential,0,0,0,0,0,0.00,0.00,334,24.4,18.3,1004,1335,38,1.94391112,43573.68612,1,0,0,0,0,1,1,0,0,0,1.83E-06,-0.5
ALDH1A3,aldehyde dehydrogenase 1 family member A3,ENSG00000184254,nonessential,0,6,0,0,0,0.00,0.00,891,30.7,20.2,1101,1568,1,0.209855231,0,1,0,0,0,1,0,1,0,0,0,1,0
ALDH1L1,aldehyde dehydrogenase 1 family member L1,ENSG00000144908,nonessential,0,6,0,0,0,0.00,0.00,520,30.4,19.9,715,975,0,0.15,0,1,0,0,0,1,0,1,0,0,0,1,0
ALDH3B2,aldehyde dehydrogenase 3 family member B2,ENSG00000132746,nonessential,0,0,0,0,0,0.00,0.00,75,24.3,15.7,295,347,1,0.209855231,0,1,0,0,0,1,0,1,0,0,0,1.04E-05,2.6
ALDH7A1,aldehyde dehydrogenase 7 family member A1,ENSG00000164904,nonessential,0,6,0,0,0,0.00,0.00,949,26.4,15.8,957,1186,4,0.308227,23.11900084,1,0,0,0,1,0,1,0,0,0,1,0
ALG14,"ALG14, UDP-N-acetylglucosaminyltransferase subunit",ENSG00000172339,essential,3,0,0,0,0,0.00,0.00,37,28.8,16,211,260,1,0.209855231,0,1,0,0,0,1,0,1,0,0,0,1,0
ALOX15B,"arachidonate 15-lipoxygenase, type B",ENSG00000179593,nonessential,5,2,0,0,0,0.00,0.00,236,22,22.4,453,639,0,0.15,0,2,0,0,0,1,1,2,0,0,0,1,0
ALPK3,alpha kinase 3,ENSG00000136383,nonessential,0,0,0,0,0,0.00,0.00,187,23.3,22.7,409,451,0,0.15,0,2,0,0,0,2,0,2,0,0,0,0.003226493,0.8
ALS2CL,ALS2 C-terminal like,ENSG00000178038,nonessential,0,0,0,0,0,0.00,0.00,29,22.8,18.2,243,280,1,0.196159564,0,1,0,0,0,0,1,1,0,0,0,9.54E-10,1.8
AMIGO2,adhesion molecule with Ig like domain 2,ENSG00000139211,nonessential,4,0,0,0,0,0.00,0.00,295,25,21.5,737,821,4,0.696123865,60028,3,0,0,0,2,1,3,0,0,0,1,0
ANAPC11,anaphase promoting complex subunit 11,ENSG00000141552,essential,0,0,0,0,0,0.00,0.00,41,20,15.2,533,627,42,1.784647196,11986.87963,1,0,0,0,0,1,1,0,0,0,1,0
ANAPC16,anaphase promoting complex subunit 16,ENSG00000166295,nonessential,0,0,0,0,0,0.00,0.00,15,29.4,22,341,402,6,0.393648924,527.4716952,3,0,0,0,2,1,3,0,0,0,5.15E-04,0.3
ANGPTL3,angiopoietin like 3,ENSG00000132855,nonessential,8,0,0,0,0,0.00,0.00,786,19.8,16.6,728,1145,4,0.333496657,973.6399842,1,0,0,0,1,0,1,0,0,0,1,0
ANKH,ANKH inorganic pyrophosphate transport regulator,ENSG00000154122,nonessential,5,0,0,0,0,0.00,0.00,231,20.5,15.5,470,682,3,0.283981473,15.01503494,2,0,0,0,1,1,2,0,0,0,1,0
ANKIB1,ankyrin repeat and IBR domain containing 1,ENSG00000001629,nonessential,1,0,0,0,0,0.00,0.00,14,31.5,22.4,304,329,4,0.311551483,7.35201317,1,0,0,0,1,0,1,0,0,0,0.00222058,0.3
ANKMY1,ankyrin repeat and MYND domain containing 1,ENSG00000144504,nonessential,0,0,0,0,0,0.00,0.00,19,23.6,15.6,247,256,0,0.15,0,2,0,0,0,1,1,2,0,0,0,1,0
ANKRD44,ankyrin repeat domain 44,ENSG00000065413,nonessential,0,0,0,0,0,0.00,0.00,21,25.2,20.6,284,328,4,0.321788967,44.07895228,2,0,0,0,1,1,2,0,0,0,1,0
ANKUB1,ankyrin repeat and ubiquitin domain containing 1,ENSG00000206199,unknown,0,0,0,0,0,0.00,0.00,3,26.4,20.3,71,71,0,0.15,0,1,0,0,0,1,0,1,0,0,0,1,0
ANLN,anillin actin binding protein,ENSG00000011426,essential,0,6,0,0,0,0.00,0.00,642,25.3,16.2,926,1127,4,0.356992335,2683.143978,1,0,0,0,1,0,1,0,0,0,2.44E-15,-2.2
AP3S1,adaptor related protein complex 3 sigma 1 subunit,ENSG00000177879,nonessential,4,0,0,0,0,0.00,0.00,35,26.3,17.8,334,406,7,0.524943879,6646.731246,1,0,0,0,0,1,1,0,0,0,1,0
APOBEC3D,apolipoprotein B mRNA editing enzyme catalytic subunit 3D,ENSG00000243811,nonessential,0,0,0,0,0,0.00,0.00,124,29.3,20.5,254,379,1,0.209855231,0,1,0,0,0,0,1,1,0,0,0,1,0
APOBEC3H,apolipoprotein B mRNA editing enzyme catalytic subunit 3H,ENSG00000100298,nonessential,0,0,0,0,0,0.00,0.00,195,27.3,16.3,286,364,0,0.15,0,1,0,0,0,1,0,1,0,0,0,1,0
AQP1,aquaporin 1 (Colton blood group),ENSG00000240583,nonessential,6,5,0,0,0,0.00,0.00,3564,35.8,28.9,2155,3762,47,2.134142575,34949.28814,1,0,0,0,1,0,1,0,0,0,1,0
ARHGAP20,Rho GTPase activating protein 20,ENSG00000137727,nonessential,0,6,0,0,0,0.00,0.00,37,24.6,14.5,343,358,1,0.191200246,0,1,0,0,0,1,0,1,0,0,0,1,0
ARHGAP31,Rho GTPase activating protein 31,ENSG00000031081,nonessential,0,0,0,0,0,0.00,0.00,95,27.2,23.8,446,576,5,0.337771305,96.08152269,1,0,0,0,0,1,1,0,0,0,4.28E-04,1.2
ARHGAP42,Rho GTPase activating protein 42,ENSG00000165895,unknown,0,0,0,0,0,0.00,0.00,78,25.4,21.5,315,354,0,0.15,0,1,0,0,0,0,1,1,0,0,0,6.56E-05,0.8
ARHGEF16,Rho guanine nucleotide exchange factor 16,ENSG00000130762,nonessential,0,0,0,0,0,0.00,0.00,48,21.6,19.7,403,476,6,0.386121795,416.2114027,2,0,0,0,1,1,2,0,0,0,1,0
ARHGEF2,Rho/Rac guanine nucleotide exchange factor 2,ENSG00000116584,nonessential,0,0,0,0,0,0.00,0.00,434,30.4,21.6,1157,1596,26,1.141585683,2285.259408,1,0,0,0,0,1,1,0,0,0,1,0
ARHGEF28,Rho guanine nucleotide exchange factor 28,ENSG00000214944,nonessential,4,6,0,0,0,0.00,0.00,168,27.2,20.5,517,597,0,0.15,0,1,0,0,0,1,0,1,0,0,0,1,0
ARHGEF5,Rho guanine nucleotide exchange factor 5,ENSG00000050327,nonessential,5,0,0,0,0,0.00,0.00,54,22.1,13.7,655,760,19,1.05258089,4992.943695,1,0,0,0,1,0,1,0,0,0,9.83E-04,0.5
ARHGEF7,Rho guanine nucleotide exchange factor 7,ENSG00000102606,nonessential,0,0,0,0,0,0.00,0.00,461,17.9,15.9,916,1311,36,1.633194068,9687.089492,1,0,0,0,0,1,1,0,0,0,0.007049014,0.3
ARID3B,AT-rich interaction domain 3B,ENSG00000179361,nonessential,0,0,0,0,0,0.00,0.00,116,26.6,18.7,464,587,6,0.42242447,3358.508864,1,0,0,0,1,0,1,0,0,0,1.37E-06,-0.9
ARL1,ADP ribosylation factor like GTPase 1,ENSG00000120805,nonessential,6,6,0,0,0,0.00,0.00,105,21.3,12.8,589,706,20,0.998220235,7098.4044,1,0,0,0,1,0,1,0,0,0,1,0
ARL4C,ADP ribosylation factor like GTPase 4C,ENSG00000188042,nonessential,5,0,0,0,0,0.00,0.00,110,26.6,17.5,542,645,3,0.31171216,289.4492056,2,0,0,0,2,0,2,0,0,0,1,0
ARL6IP5,ADP ribosylation factor like GTPase 6 interacting protein 5,ENSG00000144746,nonessential,4,0,0,0,0,0.00,0.00,190,25,16.4,583,776,11,0.717296773,6340.514787,1,0,0,0,1,0,1,0,0,0,0.006682094,0.3
ARMC9,armadillo repeat containing 9,ENSG00000135931,nonessential,0,0,0,0,0,0.00,0.00,41,29.5,23.2,255,277,4,0.356535254,940.2914159,2,0,0,0,1,1,2,0,0,0,1,0
ASB16,ankyrin repeat and SOCS box containing 16,ENSG00000161664,nonessential,0,0,0,0,0,0.00,0.00,29,22.6,19,189,206,5,0.338825714,8.775645996,1,0,0,0,0,1,1,0,0,0,1,0
ATF3,activating transcription factor 3,ENSG00000162772,nonessential,0,0,0,0,0,0.00,0.00,3453,31.6,23.1,2782,5183,47,1.889629491,15491.23665,4,0,0,0,2,2,4,0,0,0,1,0
ATF6B,activating transcription factor 6 beta,ENSG00000168468,unknown,0,0,0,0,0,0.00,0.00,265,26.9,18.3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
ATF6B,activating transcription factor 6 beta,ENSG00000213676,unknown,3,0,0,0,0,0.00,0.00,265,52.9,49.7,449,600,9,0.594847291,2387.470608,1,0,0,0,1,0,1,0,0,0,5.07E-12,1
ATF6B,activating transcription factor 6 beta,ENSG00000228628,nonessential,0,0,0,0,0,0.00,0.00,265,52.9,49.7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
ATF6B,activating transcription factor 6 beta,ENSG00000234539,unknown,0,0,0,0,0,0.00,0.00,265,52.9,49.7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
ATL2,atlastin GTPase 2,ENSG00000119787,essential,3,0,0,0,0,0.00,0.00,107,27.7,18.6,439,539,2,0.255426897,31.85421649,1,0,0,0,0,1,1,0,0,0,0.003582576,-0.3
ATP10A,ATPase phospholipid transporting 10A (putative),ENSG00000206190,nonessential,6,0,0,0,0,0.00,0.00,160,27.6,19,435,514,0,0.15,0,2,0,0,0,1,1,2,0,0,0,1,0
ATP1B3,ATPase Na+/K+ transporting subunit beta 3,ENSG00000069849,nonessential,6,3,0,0,0,0.00,0.00,113,32.1,19.7,758,883,5,0.355369935,584.2399658,1,0,0,0,1,0,1,0,0,0,6.71E-09,-0.8
ATP6V0C,ATPase H+ transporting V0 subunit c,ENSG00000185883,essential,5,0,0,0,0,0.00,0.00,235,23,18.5,1568,1713,12,0.784282356,5540.306569,2,0,0,0,1,1,2,0,0,0,1,0
ATP6V1G1,ATPase H+ transporting V1 subunit G1,ENSG00000136888,essential,5,0,0,0,0,0.00,0.00,48,26.2,18.5,1229,1285,9,0.605803566,1807.640057,1,0,0,0,1,0,1,0,0,0,2.62E-05,0.4
ATP8B1,ATPase phospholipid transporting 8B1,ENSG00000081923,nonessential,6,0,0,0,0,0.00,0.00,521,33.4,22.2,757,1022,0,0.15,0,2,0,0,0,1,1,2,0,0,0,1,0
ATPAF1,ATP synthase mitochondrial F1 complex assembly factor 1,ENSG00000123472,nonessential,0,0,0,0,0,0.00,0.00,44,31.9,21.7,255,309,2,0.211458766,0,1,0,0,0,1,0,1,0,0,0,1,0
AUNIP,aurora kinase A and ninein interacting protein,ENSG00000127423,nonessential,0,0,0,0,0,0.00,0.00,18,24.9,19.7,173,188,0,0.15,0,1,0,0,0,1,0,1,0,0,0,4.41E-16,-2.3
AVEN,apoptosis and caspase activation inhibitor,ENSG00000169857,nonessential,4,0,0,0,0,0.00,0.00,5,27.2,20.4,182,206,5,0.358372494,696.2319148,2,0,0,0,1,1,2,0,0,0,1,0
AVIL,advillin,ENSG00000135407,nonessential,0,0,0,0,0,0.00,0.00,186,29.8,20.1,361,454,2,0.250991298,0,1,0,0,0,0,1,1,0,0,0,6.66E-06,1.1
AVPR2,arginine vasopressin receptor 2,ENSG00000126895,nonessential,6,9,9,0,0,0.00,0.00,1788,28.1,24.9,4780,5855,11,0.617050139,1809.923175,1,0,0,0,1,0,1,0,0,0,1,0
B3GNT5,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5",ENSG00000176597,nonessential,3,0,0,0,0,0.00,0.00,86,22.8,19.9,331,400,1,0.184694582,0,2,0,1,1,1,0,1,0,0,0,1,0
B4GALNT2,"beta-1,4-N-acetyl-galactosaminyltransferase 2",ENSG00000167080,nonessential,3,0,0,0,0,0.00,0.00,224,25.3,18.4,331,408,0,0.15,0,2,0,0,0,1,1,2,0,0,0,4.21E-04,1.4
BAIAP2L2,BAI1 associated protein 2 like 2,ENSG00000128298,nonessential,6,0,0,0,0,0.00,0.00,26,19.7,20,236,258,0,0.15,0,1,0,0,0,0,1,1,0,0,0,0.004343967,1
BATF2,basic leucine zipper ATF-like transcription factor 2,ENSG00000168062,nonessential,0,0,0,0,0,0.00,0.00,121,26.9,22.5,325,447,9,0.5123071,1114.282871,2,0,0,0,1,1,2,0,0,0,1,0
BBIP1,BBSome interacting protein 1,ENSG00000214413,nonessential,0,0,0,0,0,0.00,0.00,45,26.4,16.2,170,195,2,0.270651758,3.441504029,2,0,0,0,1,1,2,0,0,0,1,0
BCAR1,"BCAR1, Cas family scaffolding protein",ENSG00000050820,essential,5,0,0,0,0,0.00,0.00,1373,52.9,49.7,1111,1896,74,3.036572015,37149.62278,1,0,0,0,1,0,1,0,0,0,1,0
BCAR3,breast cancer anti-estrogen resistance 3,ENSG00000137936,nonessential,1,6,0,0,0,0.00,0.00,142,26.2,18.8,649,869,45,1.712135533,5671.401565,2,0,0,0,1,1,2,0,0,0,1.20E-04,-0.6
BCAS3,"BCAS3, microtubule associated cell migration factor",ENSG00000141376,nonessential,0,0,0,0,0,0.00,0.00,136,20.3,16.3,670,847,5,0.368978729,93.04536383,1,0,0,0,1,0,1,0,0,0,2.68E-16,1.2
BCCIP,BRCA2 and CDKN1A interacting protein,ENSG00000107949,nonessential,0,0,0,0,0,0.00,0.00,165,23,17.3,526,709,20,0.921077249,3692.462247,1,0,0,0,1,0,1,0,0,0,4.40E-18,-1.2
BCL2L1,BCL2 like 1,ENSG00000171552,essential,3,8,0,0,3,0.00,0.01,21547,34.1,25,8644,14552,93,4.2451704,114428.704,2,0,0,0,2,0,2,0,0,0,1,0
BCL3,B-cell CLL/lymphoma 3,ENSG00000069399,nonessential,5,0,0,0,0,0.00,0.00,1291,22.2,16.8,1299,2071,41,1.672309834,13555.09553,1,0,0,0,1,0,1,0,0,0,6.66E-04,0.6
BCL9L,B-cell CLL/lymphoma 9 like,ENSG00000186174,nonessential,0,6,0,0,0,0.00,0.00,166,23.5,16.7,547,660,3,0.27270803,59.1853142,1,0,0,0,1,0,1,0,0,0,1,0
BEND2,BEN domain containing 2,ENSG00000177324,nonessential,0,0,0,0,0,0.00,0.00,17,24.7,20.6,108,117,2,0.252235585,626.0454512,1,0,0,0,0,1,1,0,0,0,1,0
BHMT2,betaine--homocysteine S-methyltransferase 2,ENSG00000132840,nonessential,0,9,0,0,0,0.00,0.00,88,25,15.5,370,483,1,0.206268822,0,1,0,0,0,0,1,1,0,0,0,1,0
BIRC6,baculoviral IAP repeat containing 6,ENSG00000115760,nonessential,0,0,0,0,0,0.00,0.00,227,32.3,19.3,1140,1388,25,1.097307713,3817.492769,1,0,0,0,1,0,1,0,0,0,1,0
BLCAP,bladder cancer associated protein,ENSG00000166619,nonessential,3,0,0,0,0,0.00,0.00,535,26,17.7,699,792,3,0.274826987,316.4503227,2,0,0,0,1,1,2,0,0,0,1.64E-04,0.4
BNIP1,BCL2 interacting protein 1,ENSG00000113734,essential,3,0,0,0,0,0.00,0.00,93,23.5,14,410,573,7,0.474885767,609.4655107,2,0,0,0,1,1,2,0,0,0,1.73E-07,-0.7
BTBD2,BTB domain containing 2,ENSG00000133243,nonessential,0,0,0,0,0,0.00,0.00,33,23.5,19.3,249,343,33,1.366690933,11115.52729,2,0,0,0,1,1,2,0,0,0,0.003940621,0.3
C10orf10,NA,ENSG00000165507,nonessential,0,0,0,0,0,0.00,0.00,0,22.2,16.7,385,459,20,0.93444578,3359.737897,2,0,0,0,0,2,2,0,0,0,3.15E-06,2
C10orf120,chromosome 10 open reading frame 120,ENSG00000183559,nonessential,0,0,0,0,0,0.00,0.00,4,29.7,23,86,88,0,0.15,0,1,0,0,0,0,1,1,0,0,0,1,0
C10orf55,chromosome 10 open reading frame 55,ENSG00000222047,nonessential,0,0,0,0,0,0.00,0.00,4,23.6,20.4,42,47,1,0.183817229,0,2,0,0,0,1,1,2,0,0,0,1,0
C12orf29,chromosome 12 open reading frame 29,ENSG00000133641,nonessential,0,0,0,0,0,0.00,0.00,8,26.4,21.7,180,193,1,0.209855231,0,1,0,0,0,1,0,1,0,0,0,4.50E-09,-1
C14orf1,NA,ENSG00000133935,nonessential,3,0,0,0,0,0.00,0.00,0,26.3,15.5,258,405,65,2.863085259,53527.80938,1,0,0,0,0,1,1,0,0,0,1,0
C14orf180,chromosome 14 open reading frame 180,ENSG00000184601,unknown,4,0,0,0,0,0.00,0.00,5,26.6,21.2,72,80,0,0.15,0,3,0,0,0,2,1,3,0,0,0,1,0
C14orf180,chromosome 14 open reading frame 180,ENSG00000274126,nonessential,0,0,0,0,0,0.00,0.00,5,52.9,49.7,0,0,0,0,0,3,0,0,0,2,1,3,0,0,0,1,0
C14orf93,chromosome 14 open reading frame 93,ENSG00000100802,nonessential,6,0,0,0,0,0.00,0.00,13,28.3,22,160,171,4,0.346795608,242.5659081,1,0,0,0,0,1,1,0,0,0,6.58E-11,0.9
C15orf40,chromosome 15 open reading frame 40,ENSG00000169609,nonessential,0,0,0,0,0,0.00,0.00,4,20.6,16,103,111,1,0.209855231,0,1,0,0,0,1,0,1,0,0,0,1,0
C15orf52,NA,ENSG00000188549,nonessential,0,0,0,0,0,0.00,0.00,0,22.9,17.9,144,145,0,0.15,0,1,0,0,0,1,0,1,0,0,0,1,0
C16orf54,chromosome 16 open reading frame 54,ENSG00000185905,nonessential,3,0,0,0,0,0.00,0.00,11,26.6,21.4,73,83,1,0.209855231,0,1,0,0,0,1,0,1,0,0,0,1,0
C16orf78,chromosome 16 open reading frame 78,ENSG00000166152,nonessential,0,0,0,0,0,0.00,0.00,1,25.7,21.7,137,142,3,0.300924747,11.56390917,4,0,0,0,3,1,4,0,0,0,1,0
C17orf50,chromosome 17 open reading frame 50,ENSG00000270806,nonessential,0,0,0,0,0,0.00,0.00,0,22.9,16.4,0,0,0,0,0,2,0,0,0,1,1,2,0,0,0,1,0
C19orf40,NA,ENSG00000131944,nonessential,0,0,0,0,0,0.00,0.00,0,29,17.4,208,310,5,0.369704237,178.0839814,1,0,0,0,0,1,1,0,0,0,1.85E-09,-1.1
C1orf21,chromosome 1 open reading frame 21,ENSG00000116667,nonessential,0,0,0,0,0,0.00,0.00,16,24.8,21.9,145,162,2,0.276602969,162.2950048,1,0,0,0,1,0,1,0,0,0,1,0
C1orf56,chromosome 1 open reading frame 56,ENSG00000143443,nonessential,6,0,0,0,0,0.00,0.00,16,25.7,21.8,133,142,0,0.15,0,2,0,0,0,0,2,2,0,0,0,0.003648056,0.4
C21orf59,NA,ENSG00000159079,essential,0,0,0,0,0,0.00,0.00,0,26.4,21.3,159,194,4,0.345618564,105.6566715,1,0,0,0,1,0,1,0,0,0,0.001894883,-0.5
C22orf15,chromosome 22 open reading frame 15,ENSG00000169314,nonessential,0,0,0,0,0,0.00,0.00,2,52.9,49.7,34,34,0,0.15,0,3,0,0,0,2,1,3,0,0,0,1,0
C22orf15,chromosome 22 open reading frame 15,ENSG00000273579,unknown,0,0,0,0,0,0.00,0.00,2,26.2,19.1,0,0,0,0,0,3,0,0,0,2,1,3,0,0,0,1,0
C2orf54,NA,ENSG00000172478,nonessential,0,0,0,0,0,0.00,0.00,0,25.5,16.7,166,174,0,0.15,0,1,0,0,0,1,0,1,0,0,0,1.40E-09,1.9
C2orf61,NA,ENSG00000239605,nonessential,0,0,0,0,0,0.00,0.00,0,26.8,21.4,194,195,0,0.15,0,1,0,0,0,1,0,1,0,0,0,1,0
C3orf36,NA,ENSG00000221972,unknown,0,0,0,0,0,0.00,0.00,1,26.9,24.5,37,39,1,0.206268822,0,1,0,0,0,0,1,1,0,0,0,1,0
C6orf222,NA,ENSG00000189325,unknown,0,0,0,0,0,0.00,0.00,0,25.9,21.2,98,98,0,0.15,0,1,0,0,0,1,0,1,0,0,0,5.05E-06,2.6
C7orf26,chromosome 7 open reading frame 26,ENSG00000146576,essential,0,0,0,0,0,0.00,0.00,2,27.7,21.3,151,167,2,0.244212697,92.25063765,1,0,0,0,1,0,1,0,0,0,1,0
C7orf31,chromosome 7 open reading frame 31,ENSG00000153790,nonessential,0,0,0,0,0,0.00,0.00,6,27.4,20,170,187,2,0.289455342,2068.632212,1,0,0,0,1,0,1,0,0,0,7.59E-05,0.6
C7orf57,chromosome 7 open reading frame 57,ENSG00000164746,nonessential,0,0,0,0,0,0.00,0.00,5,26.1,19.5,95,98,0,0.15,0,1,0,0,0,1,0,1,0,0,0,1,0
C9orf171,NA,ENSG00000188523,nonessential,0,0,0,0,0,0.00,0.00,0,26.2,21.3,147,154,1,0.189813168,0,1,0,0,0,1,0,1,0,0,0,1,0
C9orf91,NA,ENSG00000157693,nonessential,3,0,0,0,0,0.00,0.00,0,22.1,16.4,231,251,1,0.189430129,0,1,0,0,0,1,0,1,0,0,0,1,0
